가로등위치명,위도,경도
세종특별자치시 보람동 38-1,36.4781794,127.2985492
세종특별자치시 소담동 9-113,36.4829396,127.3072902
세종특별자치시 보람동 38-1,36.4779809,127.2981394
세종특별자치시 고운동 430-1,36.5324397,127.2435258
세종특별자치시 보람동 38-1,36.4774433,127.2971416
세종특별자치시 소담동 9-113,36.4822004,127.3077282
세종특별자치시 보람동 684-1,36.4753867,127.2932329
세종특별자치시 대평동 484-50,36.4661704,127.2691734
세종특별자치시 보람동 684-1,36.4775713,127.2968621
세종특별자치시 대평동 484-50,36.4663787,127.267866
세종특별자치시 보람동 684-1,36.4776959,127.2970766
세종특별자치시 고운동 430-1,36.5327072,127.2430765
세종특별자치시 보람동 684-1,36.4778409,127.2973246
세종특별자치시 대평동 484-50,36.4660754,127.2698549
세종특별자치시 보람동 684-1,36.4779701,127.2975726
세종특별자치시 대평동 580-1,36.4664551,127.2671065
세종특별자치시 보람동 684-1,36.4780903,127.2978123
세종특별자치시 대평동 580-1,36.4662615,127.2678671
세종특별자치시 보람동 684-1,36.4786071,127.2989385
연기면 산울리 680,36.53509,127.2393792
세종특별자치시 보람동 684-1,36.4787501,127.2993149
세종특별자치시 대평동 580-1,36.4665517,127.2666816
세종특별자치시 보람동 313-1,36.4775008,127.2973434
세종특별자치시 대평동 580-1,36.466772,127.2658762
세종특별자치시 보람동 684-1,36.475801,127.2941672
세종특별자치시 대평동 580-1,36.467019,127.2650036
세종특별자치시 보람동 38-1,36.4784332,127.2986853
세종특별자치시 소담동 9-113,36.4824019,127.3072411
세종특별자치시 보람동 38-1,36.4775943,127.2970214
세종특별자치시 대평동 580-1,36.4672843,127.2641754
세종특별자치시 보람동 38-1,36.4775561,127.2973338
세종특별자치시 대평동 580-1,36.4675231,127.2634479
세종특별자치시 보람동 38-1,36.4777133,127.2972248
세종특별자치시 대평동 580-1,36.4677354,127.2627875
세종특별자치시 보람동 38-1,36.477667,127.2975373
세종특별자치시 대평동 580-1,36.4679834,127.2620934
세종특별자치시 보람동 38-1,36.4778188,127.2974283
세종특별자치시 대평동 268-12,36.4682609,127.2765293
세종특별자치시 보람동 38-1,36.4773373,127.2969744
세종특별자치시 대평동 580-1,36.4682397,127.2612764
세종특별자치시 보람동 38-1,36.4779425,127.2976512
세종특별자치시 대평동 580-1,36.4684793,127.2606716
세종특별자치시 보람동 38-1,36.4777776,127.2977379
세종특별자치시 대평동 580-1,36.4686657,127.2602124
세종특별자치시 보람동 38-1,36.4782447,127.2982561
세종특별자치시 대평동 484-50,36.4666764,127.267919
세종특별자치시 보람동 38-1,36.4778832,127.297936
세종특별자치시 대평동 268-12,36.4676085,127.275944
세종특별자치시 보람동 38-1,36.4781427,127.2980582
세종특별자치시 대평동 268-12,36.4678472,127.2766782
세종특별자치시 보람동 38-1,36.4780652,127.2978881
세종특별자치시 대평동 268-12,36.4679844,127.2770005
세종특별자치시 보람동 38-1,36.4786852,127.2993015
세종특별자치시 대평동 484-50,36.4662132,127.2688048
세종특별자치시 보람동 38-1,36.4783345,127.2989369
세종특별자치시 대평동 484-50,36.4661095,127.269531
세종특별자치시 보람동 38-1,36.4774978,127.2968542
세종특별자치시 대평동 580-1,36.466747,127.2676728
세종특별자치시 보람동 38-1,36.4785008,127.2993437
세종특별자치시 대평동 580-1,36.4674171,127.2637948
세종특별자치시 보람동 313-1,36.4778078,127.2979174
세종특별자치시 대평동 580-1,36.4676469,127.2630562
세종특별자치시 보람동 684-1,36.4784687,127.2986152
세종특별자치시 대평동 580-1,36.4678418,127.2625076
세종특별자치시 보람동 313-1,36.477678,127.2976624
세종특별자치시 대평동 580-1,36.4661737,127.2682473
세종특별자치시 보람동 684-1,36.4783577,127.298381
세종특별자치시 대평동 580-1,36.4668864,127.2654288
세종특별자치시 보람동 313-1,36.4779424,127.2981917
세종특별자치시 대평동 580-1,36.4666754,127.2662788
세종특별자치시 보람동 313-1,36.4780696,127.2984606
세종특별자치시 대평동 580-1,36.468107,127.2616794
세종특별자치시 보람동 313-1,36.478324,127.2990428
세종특별자치시 대평동 580-1,36.4683909,127.2609403
세종특별자치시 보람동 313-1,36.4781837,127.2987183
세종특별자치시 대평동 580-1,36.4687539,127.259888
세종특별자치시 보람동 313-1,36.4784832,127.2994248
세종특별자치시 대평동 580-1,36.4663673,127.2674756
세종특별자치시 보람동 684-1,36.4762824,127.2949477
세종특별자치시 가람동 952,36.47731,127.2466803
세종특별자치시 보람동 313-1,36.4773372,127.2970831
세종특별자치시 가람동 952,36.4766829,127.2468759
세종특별자치시 보람동 684-1,36.4760338,127.2945491
세종특별자치시 가람동 952,36.4772305,127.2461708
세종특별자치시 보람동 684-1,36.4764463,127.2951749
세종특별자치시 가람동 952,36.4768774,127.2463024
세종특별자치시 보람동 684-1,36.4759152,127.2943721
세종특별자치시 가람동 952,36.4762484,127.2465761
세종특별자치시 보람동 684-1,36.4756964,127.2939705
세종특별자치시 가람동 952,36.4763975,127.2469988
세종특별자치시 소담동 32-99,36.4797451,127.3054916
세종특별자치시 가람동 952,36.4769863,127.2467615
세종특별자치시 소담동 32-99,36.4797763,127.3058023
세종특별자치시 가람동 952,36.4765561,127.2464337
세종특별자치시 소담동 32-99,36.4798052,127.3060739
세종특별자치시 가람동 952,36.478007,127.2465093
세종특별자치시 소담동 32-99,36.4798318,127.3063483
세종특별자치시 다정동 산33,36.4905607,127.2421801
세종특별자치시 소담동 32-99,36.4798584,127.3065947
세종특별자치시 다정동 산33,36.4909819,127.2418077
세종특별자치시 소담동 32-99,36.4798895,127.3068328
세종특별자치시 다정동 산33,36.4913848,127.2413908
